timestamp,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_qd_0,target_qd_1,target_qd_2,target_qd_3,target_qd_4,target_qd_5,target_qdd_0,target_qdd_1,target_qdd_2,target_qdd_3,target_qdd_4,target_qdd_5,target_current_0,target_current_1,target_current_2,target_current_3,target_current_4,target_current_5,target_moment_0,target_moment_1,target_moment_2,target_moment_3,target_moment_4,target_moment_5,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,joint_control_output_0,joint_control_output_1,joint_control_output_2,joint_control_output_3,joint_control_output_4,joint_control_output_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5,target_TCP_speed_0,target_TCP_speed_1,target_TCP_speed_2,target_TCP_speed_3,target_TCP_speed_4,target_TCP_speed_5,actual_digital_input_bits,joint_temperatures_0,joint_temperatures_1,joint_temperatures_2,joint_temperatures_3,joint_temperatures_4,joint_temperatures_5,actual_execution_time,robot_mode,joint_mode_0,joint_mode_1,joint_mode_2,joint_mode_3,joint_mode_4,joint_mode_5,safety_mode,actual_tool_accelerometer_0,actual_tool_accelerometer_1,actual_tool_accelerometer_2,speed_scaling,target_speed_fraction,actual_momentum,actual_main_voltage,actual_robot_voltage,actual_robot_current,actual_joint_voltage_0,actual_joint_voltage_1,actual_joint_voltage_2,actual_joint_voltage_3,actual_joint_voltage_4,actual_joint_voltage_5,actual_digital_output_bits,runtime_state,standard_analog_input0,standard_analog_input1,standard_analog_output0,standard_analog_output1,robot_status_bits,safety_status_bits,ft_raw_wrench_0,ft_raw_wrench_1,ft_raw_wrench_2,ft_raw_wrench_3,ft_raw_wrench_4,ft_raw_wrench_5,output_int_register_2,output_int_register_12,output_int_register_13,output_int_register_14,output_int_register_15,output_int_register_16,output_int_register_17,output_int_register_18,output_int_register_19,output_double_register_12,output_double_register_13,output_double_register_14,output_double_register_15,output_double_register_16,output_double_register_17,output_double_register_18,output_double_register_19
1786.472000,-0.361733,-1.668538,2.270779,-0.265746,1.345350,1.972980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.389407,-1.772665,-0.176426,-0.023267,0.000000,0.000000,-16.224130,-20.766243,-1.514928,-0.210023,0.000000,-0.361736,-1.668556,2.270800,-0.265770,1.345342,1.972920,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.365415,-0.757732,-1.197127,-0.129628,-0.024401,-0.001525,-0.374382,-0.755490,-1.188160,-0.128103,-0.032026,-0.003050,-0.392795,0.000311,0.159914,-0.565455,-1.818233,0.242158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.469475,-18.215440,24.818151,0.606417,-1.452386,-2.356461,-0.392800,0.000313,0.159914,-0.565522,-1.818236,0.242194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,30.579992,32.369984,31.389036,37.887711,37.098488,37.394676,0.580536,7,253,253,253,253,253,253,1,9.218275,-3.791001,-5.816863,1.000000,1.000000,0.000000,48.190971,48.190971,0.716145,47.955002,48.076000,47.971001,48.152000,47.757999,48.000000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1786.488000,-0.361733,-1.668538,2.270779,-0.265746,1.345350,1.972980,-0.000007,-0.000022,-0.000011,0.000015,-0.000023,0.000004,-0.000907,-0.002808,-0.001324,0.001902,-0.002919,0.000504,-0.000122,-1.391399,-1.773661,-0.176116,-0.023831,0.000012,-0.001426,-16.232992,-20.771123,-1.514773,-0.210670,0.000107,-0.361736,-1.668544,2.270776,-0.265746,1.345306,1.972872,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.367657,-0.759974,-1.188160,-0.131154,-0.025926,-0.003050,-0.374382,-0.755490,-1.188160,-0.128103,-0.032026,-0.003050,-0.392802,0.000309,0.159918,-0.565393,-1.818262,0.242161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.843661,-18.380148,25.076807,0.592919,-1.530583,-2.393540,-0.392800,0.000313,0.159914,-0.565522,-1.818236,0.242194,-0.000001,-0.000000,0.000012,-0.000005,0.000020,0.000013,0,30.579992,32.369984,31.389036,37.887711,37.098488,37.394676,0.806244,7,253,253,253,253,253,253,1,9.206287,-3.770023,-5.858819,1.000000,1.000000,0.000037,48.190971,48.190971,0.823566,47.955002,48.076000,47.971001,48.152000,47.757999,48.000000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1786.504000,-0.361733,-1.668539,2.270778,-0.265745,1.345349,1.972980,-0.000044,-0.000135,-0.000064,0.000091,-0.000140,0.000024,-0.002797,-0.008657,-0.004082,0.005863,-0.008999,0.001554,-0.002847,-1.399146,-1.777426,-0.174619,-0.026437,0.000589,-0.004396,-16.251435,-20.781308,-1.514450,-0.212019,0.000329,-0.361783,-1.668544,2.270836,-0.265710,1.345330,1.972932,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.401284,-0.739797,-1.181434,-0.128103,-0.027451,-0.003050,-0.392317,-0.742039,-1.188160,-0.126578,-0.024401,-0.003050,-0.392777,0.000321,0.159890,-0.565549,-1.818314,0.242156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.742389,-19.858973,25.882293,0.647356,-1.522591,-2.568086,-0.392800,0.000313,0.159915,-0.565521,-1.818235,0.242195,-0.000004,-0.000000,0.000069,-0.000028,0.000119,0.000081,0,30.579992,32.369984,31.389036,37.887711,37.098488,37.394676,0.511681,7,253,253,253,253,253,253,1,9.203291,-3.770023,-5.798882,1.000000,1.000000,0.000394,48.190971,48.190971,0.823566,47.955002,48.105999,47.971001,48.152000,47.757999,48.000000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1786.520000,-0.361734,-1.668543,2.270777,-0.265743,1.345345,1.972981,-0.000121,-0.000374,-0.000177,0.000254,-0.000389,0.000067,-0.005593,-0.017314,-0.008164,0.011726,-0.017999,0.003108,-0.007617,-1.414638,-1.784895,-0.171450,-0.031902,0.001608,-0.008792,-16.278679,-20.796429,-1.513979,-0.214015,0.000658,-0.361748,-1.668520,2.270812,-0.265723,1.345330,1.972896,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.412493,-0.818261,-1.190401,-0.126578,-0.035076,0.015250,-0.394559,-0.822744,-1.194885,-0.126578,-0.033551,0.012200,-0.392788,0.000311,0.159892,-0.565478,-1.818322,0.242154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.008002,-20.080724,24.467821,0.805576,-1.754168,-2.571521,-0.392800,0.000313,0.159917,-0.565519,-1.818233,0.242198,-0.000010,-0.000000,0.000192,-0.000078,0.000331,0.000225,0,30.579992,32.369984,31.390133,37.887711,37.098488,37.395210,0.586236,7,253,253,253,253,253,253,1,9.254237,-3.814975,-5.780901,1.000000,1.000000,0.001249,48.190971,48.190971,0.716145,47.955002,48.105999,47.939999,48.152000,47.757999,48.000000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1786.536000,-0.361737,-1.668551,2.270773,-0.265737,1.345336,1.972982,-0.000254,-0.000786,-0.000371,0.000532,-0.000817,0.000141,-0.009297,-0.028777,-0.013571,0.019490,-0.029917,0.005166,-0.015669,-1.440342,-1.797231,-0.166025,-0.041209,0.003344,-0.014613,-16.314665,-20.816539,-1.513364,-0.216661,0.001094,-0.361736,-1.668556,2.270800,-0.265710,1.345318,1.972920,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.403526,-0.849646,-1.208336,-0.118953,-0.048801,0.024401,-0.403526,-0.854130,-1.212819,-0.120478,-0.047276,0.019826,-0.392788,0.000305,0.159909,-0.565466,-1.818291,0.242186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.752455,-19.312392,24.151956,0.861665,-1.728443,-2.493142,-0.392801,0.000313,0.159921,-0.565514,-1.818227,0.242205,-0.000021,-0.000001,0.000403,-0.000164,0.000696,0.000472,0,30.579992,32.369984,31.390133,37.887711,37.099640,37.395210,0.587724,7,253,253,253,253,253,253,1,9.146351,-3.805985,-5.810870,1.000000,1.000000,0.002802,48.190971,48.190971,0.716145,47.955002,48.105999,47.939999,48.152000,47.772999,48.000000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1786.552000,-0.361743,-1.668568,2.270765,-0.265726,1.345319,1.972985,-0.000457,-0.001415,-0.000667,0.000958,-0.001471,0.000254,-0.013907,-0.043045,-0.020304,0.029154,-0.044753,0.007730,-0.027826,-1.478724,-1.815604,-0.157759,-0.055346,0.005984,-0.021860,-16.359316,-20.841707,-1.512614,-0.219958,0.001638,-0.361723,-1.668568,2.270764,-0.265710,1.345354,1.972920,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.392317,-0.928110,-1.306976,-0.103703,-0.076252,0.033551,-0.412493,-0.925868,-1.318185,-0.105228,-0.077777,0.025926,-0.392799,0.000309,0.159928,-0.565457,-1.818245,0.242156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.408964,-18.518760,21.353353,0.981749,-1.308901,-2.488097,-0.392801,0.000313,0.159930,-0.565505,-1.818216,0.242219,-0.000037,-0.000002,0.000725,-0.000296,0.001252,0.000850,0,30.579992,32.369984,31.390133,37.887939,37.099640,37.395210,0.573552,7,253,253,253,253,253,253,1,9.257234,-3.665133,-5.876800,1.000000,1.000000,0.005251,48.190971,48.190971,0.787760,47.955002,48.105999,47.939999,48.105999,47.772999,48.000000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1786.568000,-0.361752,-1.668596,2.270752,-0.265707,1.345289,1.972990,-0.000745,-0.002306,-0.001088,0.001562,-0.002397,0.000414,-0.019424,-0.060115,-0.028364,0.040717,-0.062508,0.010801,-0.044916,-1.532258,-1.841186,-0.146067,-0.075303,0.009711,-0.030533,-16.412530,-20.872021,-1.511740,-0.223908,0.002288,-0.361723,-1.668568,2.270824,-0.265734,1.345330,1.972884,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.434911,-0.999848,-1.356295,-0.079302,-0.115903,0.042701,-0.441637,-1.008815,-1.358537,-0.083877,-0.115903,0.054901,-0.392782,0.000300,0.159906,-0.565424,-1.818291,0.242158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.082034,-20.428447,20.042715,1.203116,-1.134979,-2.903089,-0.392802,0.000313,0.159944,-0.565488,-1.818197,0.242242,-0.000061,-0.000003,0.001181,-0.000482,0.002041,0.001385,0,30.579992,32.369984,31.390133,37.887939,37.099640,37.395210,0.550212,7,253,253,253,253,253,253,1,9.170325,-3.761032,-5.861816,1.000000,1.000000,0.008795,48.190971,48.190971,0.716145,47.955002,48.105999,47.939999,48.105999,47.772999,48.000000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1786.584000,-0.361766,-1.668641,2.270731,-0.265677,1.345243,1.972998,-0.001132,-0.003503,-0.001653,0.002373,-0.003642,0.000629,-0.025847,-0.079980,-0.037757,0.054176,-0.083180,0.014383,-0.067766,-1.603422,-1.875159,-0.130362,-0.102077,0.014713,-0.040632,-16.474186,-20.907590,-1.510753,-0.228512,0.003047,-0.361736,-1.668568,2.270788,-0.265758,1.345294,1.972884,0.000000,-0.001777,-0.000000,0.000000,0.000000,0.000000,-0.488715,-1.152291,-1.392164,-0.033551,-0.187580,0.054901,-0.493198,-1.161258,-1.401132,-0.035076,-0.179955,0.073202,-0.392798,0.000305,0.159923,-0.565385,-1.818239,0.242178,0.000117,-0.000044,0.000653,0.000629,0.001662,-0.000001,-8.207846,-23.606768,17.191400,1.573734,-1.085844,-3.746591,-0.392803,0.000313,0.159967,-0.565462,-1.818167,0.242278,-0.000092,-0.000004,0.001795,-0.000733,0.003101,0.002105,0,30.579992,32.369984,31.390133,37.887939,37.099640,37.395210,0.572677,7,253,253,253,253,253,253,1,9.257234,-3.743051,-5.885790,1.000000,1.000000,0.013635,48.190971,48.190971,0.823566,47.955002,48.091000,47.939999,48.105999,47.772999,48.000000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1786.600000,-0.361787,-1.668707,2.270699,-0.265632,1.345175,1.973010,-0.001632,-0.005052,-0.002384,0.003422,-0.005254,0.000908,-0.033175,-0.102631,-0.048487,0.069526,-0.106769,0.018479,-0.097205,-1.694703,-1.918717,-0.110055,-0.136670,0.021179,-0.052158,-16.544133,-20.948542,-1.509669,-0.233773,0.003915,-0.361759,-1.668676,2.270800,-0.265723,1.345222,1.972920,0.000000,-0.004806,-0.000000,0.004866,-0.013734,0.000000,-0.555969,-1.192643,-1.580476,0.030501,-0.205881,0.100653,-0.560453,-1.192643,-1.584960,0.027451,-0.213506,0.097603,-0.392784,0.000300,0.159955,-0.565366,-1.818182,0.242249,0.000653,-0.002071,0.001478,-0.004262,0.001545,0.012965,-2.312397,-24.281779,13.958492,2.084171,0.271161,-3.512921,-0.392805,0.000313,0.160001,-0.565424,-1.818123,0.242332,-0.000133,-0.000006,0.002589,-0.001057,0.004473,0.003036,0,30.579992,32.369984,31.391119,37.887939,37.099640,37.395691,0.548532,7,253,253,253,253,253,253,1,9.212281,-3.853934,-5.882793,1.000000,1.000000,0.019967,48.190971,48.190971,0.751955,47.955002,48.091000,47.955002,48.105999,47.772999,48.000000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1786.616000,-0.361817,-1.668800,2.270655,-0.265569,1.345077,1.973027,-0.002261,-0.006996,-0.003304,0.004739,-0.007277,0.001259,-0.041409,-0.128054,-0.060564,0.086760,-0.133273,0.023098,-0.134064,-1.808594,-1.973068,-0.084554,-0.180110,0.029300,-0.065110,-16.622193,-20.995028,-1.508505,-0.239693,0.004893,-0.361807,-1.668736,2.270752,-0.265639,1.345210,1.972920,-0.004129,-0.007772,-0.000000,0.004794,-0.004458,0.000000,-0.654609,-1.383197,-1.697051,-0.085402,-0.207406,0.126578,-0.652367,-1.380955,-1.690325,-0.093028,-0.211981,0.128103,-0.392785,0.000318,0.159990,-0.565390,-1.818148,0.242225,0.001016,0.000647,0.002487,-0.000323,0.003305,0.000078,-2.984552,-25.228385,15.436975,1.930815,-1.302852,-3.073622,-0.392807,0.000312,0.160048,-0.565370,-1.818061,0.242408,-0.000184,-0.000008,0.003586,-0.001463,0.006196,0.004205,0,30.579992,32.369984,31.391119,37.888145,37.100677,37.395691,0.580236,7,253,253,253,253,253,253,1,9.365120,-3.434377,-5.726958,1.000000,1.000000,0.027991,48.190971,48.190971,0.751955,47.939999,48.091000,47.955002,48.105999,47.772999,48.000000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
