timestamp,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_qd_0,target_qd_1,target_qd_2,target_qd_3,target_qd_4,target_qd_5,target_qdd_0,target_qdd_1,target_qdd_2,target_qdd_3,target_qdd_4,target_qdd_5,target_current_0,target_current_1,target_current_2,target_current_3,target_current_4,target_current_5,target_moment_0,target_moment_1,target_moment_2,target_moment_3,target_moment_4,target_moment_5,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,joint_control_output_0,joint_control_output_1,joint_control_output_2,joint_control_output_3,joint_control_output_4,joint_control_output_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5,target_TCP_speed_0,target_TCP_speed_1,target_TCP_speed_2,target_TCP_speed_3,target_TCP_speed_4,target_TCP_speed_5,actual_digital_input_bits,joint_temperatures_0,joint_temperatures_1,joint_temperatures_2,joint_temperatures_3,joint_temperatures_4,joint_temperatures_5,actual_execution_time,robot_mode,joint_mode_0,joint_mode_1,joint_mode_2,joint_mode_3,joint_mode_4,joint_mode_5,safety_mode,actual_tool_accelerometer_0,actual_tool_accelerometer_1,actual_tool_accelerometer_2,speed_scaling,target_speed_fraction,actual_momentum,actual_main_voltage,actual_robot_voltage,actual_robot_current,actual_joint_voltage_0,actual_joint_voltage_1,actual_joint_voltage_2,actual_joint_voltage_3,actual_joint_voltage_4,actual_joint_voltage_5,actual_digital_output_bits,runtime_state,standard_analog_input0,standard_analog_input1,standard_analog_output0,standard_analog_output1,robot_status_bits,safety_status_bits,ft_raw_wrench_0,ft_raw_wrench_1,ft_raw_wrench_2,ft_raw_wrench_3,ft_raw_wrench_4,ft_raw_wrench_5,output_int_register_2,output_int_register_12,output_int_register_13,output_int_register_14,output_int_register_15,output_int_register_16,output_int_register_17,output_int_register_18,output_int_register_19,output_double_register_12,output_double_register_13,output_double_register_14,output_double_register_15,output_double_register_16,output_double_register_17,output_double_register_18,output_double_register_19
873.608000,-0.263242,-1.690968,2.103445,-0.111140,1.420087,2.035078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.500135,-1.971625,-0.197395,-0.014047,0.000000,0.000000,-17.517107,-23.096993,-1.694982,-0.126798,0.000000,-0.263259,-1.690971,2.103459,-0.111144,1.420046,2.035076,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.181587,-1.143323,-1.479595,-0.004575,-0.004575,-0.044226,0.156927,-1.141082,-1.486320,-0.003050,-0.007625,-0.041176,-0.420209,-0.020780,0.226418,-0.568671,-1.788155,0.279632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.946829,7.440001,11.574022,-0.638706,0.612034,0.761129,-0.420212,-0.020781,0.226423,-0.568682,-1.788144,0.279606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,29.321693,31.209991,30.329992,35.699982,33.969261,33.927856,0.490992,7,253,253,253,253,253,253,1,9.140357,-4.078697,-5.622069,1.000000,1.000000,0.000000,48.190971,48.190971,0.787760,47.895000,48.091000,47.955002,48.091000,47.742001,48.000000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
873.624000,-0.263242,-1.690968,2.103445,-0.111140,1.420087,2.035078,-0.000041,-0.000047,0.000004,-0.000004,-0.000080,-0.000004,-0.005082,-0.005924,0.000535,-0.000487,-0.010057,-0.000467,-0.003224,-1.504272,-1.971786,-0.197430,-0.015948,-0.000011,-0.010760,-17.535061,-23.098884,-1.695278,-0.128740,-0.000099,-0.263295,-1.690935,2.103471,-0.111168,1.420046,2.035052,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.174861,-1.141082,-1.481837,-0.001525,-0.004575,-0.039651,0.156927,-1.141082,-1.486320,-0.003050,-0.007625,-0.041176,-0.420214,-0.020763,0.226400,-0.568691,-1.788171,0.279590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.687434,7.415381,11.527618,-0.593260,0.669058,0.791404,-0.420212,-0.020781,0.226423,-0.568682,-1.788144,0.279607,0.000005,0.000005,0.000018,-0.000007,0.000051,0.000037,0,29.321693,31.209991,30.329992,35.699982,33.969261,33.927856,0.759936,7,253,253,253,253,253,253,1,9.137360,-4.048728,-5.664024,1.000000,1.000000,0.000070,48.190971,48.190971,0.751955,47.895000,48.091000,47.955002,48.091000,47.742001,48.000000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
873.640000,-0.263244,-1.690970,2.103445,-0.111140,1.420083,2.035078,-0.000213,-0.000249,0.000022,-0.000020,-0.000422,-0.000020,-0.012958,-0.015106,0.001365,-0.001243,-0.025647,-0.001192,-0.014448,-1.517697,-1.970810,-0.197880,-0.023447,-0.000454,-0.027438,-17.562830,-23.101837,-1.695743,-0.131752,-0.000252,-0.263247,-1.690971,2.103483,-0.111157,1.420046,2.035100,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.147960,-1.141082,-1.481837,-0.004575,-0.007625,-0.041176,0.152443,-1.150049,-1.486320,-0.003050,-0.004575,-0.041176,-0.420204,-0.020786,0.226409,-0.568687,-1.788164,0.279656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.333650,6.895815,11.769746,-0.597085,0.684219,0.771571,-0.420212,-0.020780,0.226424,-0.568681,-1.788143,0.279608,0.000026,0.000026,0.000094,-0.000038,0.000269,0.000195,0,29.321693,31.209991,30.329992,35.699982,33.969261,33.927856,0.540516,7,253,253,253,253,253,253,1,9.131367,-4.057719,-5.649040,1.000000,1.000000,0.000632,48.130199,48.190971,0.608724,47.895000,48.091000,47.986000,48.091000,47.742001,48.000000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
873.656000,-0.263249,-1.690977,2.103446,-0.111141,1.420072,2.035077,-0.000549,-0.000640,0.000058,-0.000053,-0.001086,-0.000050,-0.023884,-0.027843,0.002515,-0.002290,-0.047271,-0.002195,-0.035452,-1.542435,-1.969233,-0.198580,-0.037826,-0.001146,-0.050572,-17.601221,-23.105975,-1.696399,-0.135933,-0.000465,-0.263247,-1.690971,2.103447,-0.111168,1.420058,2.035088,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.127783,-1.170225,-1.497530,-0.003050,-0.041176,-0.041176,0.138992,-1.181434,-1.488562,-0.004575,-0.041176,-0.041176,-0.420215,-0.020781,0.226426,-0.568665,-1.788121,0.279637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.137646,6.335571,11.225695,-0.503065,0.777151,0.521287,-0.420211,-0.020780,0.226426,-0.568675,-1.788138,0.279614,0.000066,0.000068,0.000241,-0.000098,0.000691,0.000503,0,29.321693,31.209991,30.329992,35.699982,33.969261,33.927856,0.544332,7,253,253,253,253,253,253,1,9.134363,-4.066710,-5.664024,1.000000,1.000000,0.001825,48.190971,48.190971,0.787760,47.895000,48.091000,47.986000,48.091000,47.742001,48.000000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
873.672000,-0.263261,-1.690991,2.103447,-0.111142,1.420048,2.035076,-0.001096,-0.001277,0.000115,-0.000105,-0.002168,-0.000101,-0.037860,-0.044132,0.003984,-0.003630,-0.074930,-0.003477,-0.069013,-1.581604,-1.966545,-0.199696,-0.061126,-0.002266,-0.080164,-17.650114,-23.111344,-1.697259,-0.141288,-0.000737,-0.263283,-1.690935,2.103459,-0.111168,1.420082,2.035076,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.098640,-1.320426,-1.481837,-0.001525,-0.083877,-0.041176,0.098640,-1.311459,-1.486320,-0.004575,-0.077777,-0.041176,-0.420217,-0.020763,0.226406,-0.568720,-1.788151,0.279582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.523865,5.476960,9.876283,-0.432375,0.381708,0.193540,-0.420209,-0.020778,0.226431,-0.568663,-1.788126,0.279628,0.000132,0.000136,0.000481,-0.000196,0.001380,0.001004,0,29.321693,31.209991,30.329992,35.699982,33.969334,33.927856,0.543924,7,253,253,253,253,253,253,1,9.194300,-4.039738,-5.652037,1.000000,1.000000,0.003860,48.130199,48.190971,0.716145,47.895000,48.091000,47.986000,48.091000,47.742001,48.000000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
873.688000,-0.263284,-1.691017,2.103449,-0.111144,1.420004,2.035074,-0.001903,-0.002218,0.000200,-0.000182,-0.003766,-0.000175,-0.054887,-0.063972,0.005770,-0.005261,-0.108627,-0.005032,-0.117924,-1.638333,-1.962473,-0.201321,-0.095407,-0.003909,-0.116216,-17.709354,-23.117998,-1.698336,-0.147821,-0.001066,-0.263235,-1.690995,2.103471,-0.111157,1.420046,2.035076,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.073980,-1.441484,-1.495288,-0.001525,-0.146404,-0.039651,-0.062771,-1.437001,-1.506497,-0.004575,-0.154029,-0.042701,-0.420203,-0.020791,0.226424,-0.568640,-1.788141,0.279648,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.993940,-1.204146,8.485348,-0.075044,0.220384,-0.916935,-0.420207,-0.020775,0.226441,-0.568641,-1.788105,0.279652,0.000230,0.000236,0.000836,-0.000340,0.002396,0.001743,0,29.322525,31.209991,30.329992,35.699982,33.969334,33.928070,0.540432,7,253,253,253,253,253,253,1,9.191303,-4.159612,-5.646043,1.000000,1.000000,0.006948,48.190971,48.190971,0.823566,47.939999,48.122002,47.986000,48.091000,47.742001,47.986000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
873.704000,-0.263321,-1.691061,2.103453,-0.111148,1.419929,2.035071,-0.003019,-0.003519,0.000317,-0.000289,-0.005974,-0.000277,-0.074967,-0.087359,0.007869,-0.007183,-0.148365,-0.006855,-0.184995,-1.715763,-1.956749,-0.203546,-0.142757,-0.006168,-0.158733,-17.778749,-23.126009,-1.699648,-0.155539,-0.001452,-0.263271,-1.691055,2.103495,-0.111181,1.419962,2.035064,0.000000,-0.005522,-0.000000,0.000000,-0.005633,0.000000,-0.183828,-1.414582,-1.461661,-0.004575,-0.032026,-0.042701,-0.179345,-1.419066,-1.472870,-0.006100,-0.033551,-0.044226,-0.420194,-0.020790,0.226439,-0.568581,-1.788095,0.279693,0.000646,-0.000908,0.002244,-0.000177,0.005765,0.005375,-4.264074,2.515212,10.675302,-0.680247,0.516494,1.130203,-0.420202,-0.020771,0.226458,-0.568605,-1.788071,0.279694,0.000364,0.000375,0.001326,-0.000540,0.003802,0.002765,0,29.322525,31.209991,30.329992,35.699982,33.969334,33.928070,0.537612,7,253,253,253,253,253,253,1,9.239253,-4.048728,-5.631059,1.000000,1.000000,0.011299,48.190971,48.190971,0.751955,47.939999,48.122002,47.986000,48.091000,47.742001,47.986000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
873.720000,-0.263379,-1.691128,2.103459,-0.111153,1.419815,2.035066,-0.004493,-0.005236,0.000472,-0.000431,-0.008892,-0.000411,-0.098105,-0.114286,0.010272,-0.009393,-0.194149,-0.008931,-0.273065,-1.817054,-1.949110,-0.206465,-0.205305,-0.009132,-0.207724,-17.858069,-23.135465,-1.701214,-0.164448,-0.001892,-0.263307,-1.691115,2.103459,-0.111168,1.419842,2.035088,0.000000,-0.002966,-0.000000,0.000000,-0.025910,0.000000,-0.387833,-1.567026,-1.457177,-0.004575,0.016775,-0.045751,-0.381108,-1.564784,-1.459419,-0.007625,0.024401,-0.045751,-0.420197,-0.020789,0.226479,-0.568523,-1.788029,0.279796,0.000001,-0.003382,0.001334,-0.006649,0.004857,0.024742,-6.373127,0.806962,9.781691,-0.943922,0.492031,1.978904,-0.420195,-0.020763,0.226483,-0.568549,-1.788018,0.279757,0.000542,0.000557,0.001974,-0.000803,0.005658,0.004115,0,29.322525,31.209991,30.329992,35.699982,33.969334,33.928070,0.534324,7,253,253,253,253,253,253,1,9.050452,-3.997782,-5.553142,1.000000,1.000000,0.017122,48.130199,48.190971,0.608724,47.939999,48.122002,47.955002,48.105999,47.742001,47.986000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
873.728000,-0.263417,-1.691173,2.103463,-0.111157,1.419739,2.035062,-0.005379,-0.006268,0.000565,-0.000515,-0.010646,-0.000492,-0.110821,-0.129074,0.011584,-0.010606,-0.219310,-0.010060,-0.325872,-1.877642,-1.944494,-0.208213,-0.229613,-0.010906,-0.234651,-17.901366,-23.140768,-1.702101,-0.169352,-0.002131,-0.263355,-1.691163,2.103495,-0.111168,1.419818,2.035052,-0.003400,-0.009293,-0.000000,0.000000,-0.010786,0.000000,-0.419219,-1.414582,-1.441484,-0.012200,-0.091502,-0.045751,-0.401284,-1.414582,-1.450451,-0.010675,-0.093028,-0.045751,-0.420182,-0.020777,0.226482,-0.568512,-1.788015,0.279761,0.000997,-0.000264,0.003783,-0.000670,0.009803,0.006894,0.251435,-0.302891,13.267931,-0.610973,0.895480,1.093490,-0.420191,-0.020759,0.226500,-0.568512,-1.787982,0.279799,0.000649,0.000667,0.002363,-0.000961,0.006775,0.004927,0,29.322525,31.209991,30.329992,35.699982,33.969334,33.928070,0.534924,7,253,253,253,253,253,253,1,9.389094,-4.186583,-5.762920,1.000000,1.000000,0.020652,48.190971,48.190971,0.751955,47.939999,48.122002,47.955002,48.105999,47.742001,47.986000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
873.744000,-0.263517,-1.691289,2.103474,-0.111166,1.419542,2.035053,-0.007482,-0.008717,0.000784,-0.000716,-0.014807,-0.000681,-0.138557,-0.161289,0.014421,-0.013244,-0.274179,-0.012482,-0.450850,-2.020704,-1.933517,-0.212343,-0.232924,-0.015083,-0.293378,-17.995047,-23.152600,-1.704095,-0.180066,-0.002644,-0.263439,-1.691307,2.103459,-0.111168,1.419578,2.035052,-0.003298,-0.013141,-0.000000,0.000000,-0.012943,0.000000,-0.607531,-1.519948,-1.421308,-0.013725,-0.041176,-0.071677,-0.612014,-1.522189,-1.430275,-0.016775,-0.041176,-0.070152,-0.420178,-0.020774,0.226557,-0.568355,-1.787877,0.279927,0.001477,-0.000717,0.005336,-0.000283,0.013683,0.009054,0.930220,-1.514472,13.954964,-0.918308,1.067435,1.402115,-0.420179,-0.020746,0.226544,-0.568416,-1.787890,0.279908,0.000903,0.000928,0.003287,-0.001337,0.009422,0.006852,0,29.322525,31.209991,30.329992,35.699982,33.969398,33.928070,0.597588,7,253,253,253,253,253,253,1,9.158338,-3.985795,-5.942730,1.000000,1.000000,0.029078,48.190971,48.190971,0.787760,47.939999,48.122002,47.955002,48.105999,47.772999,47.986000,0,2,0.004028,0.004028,0.004000,0.004000,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
